Stad.;Country;Country new;Population;Reinforcements;Income;Port;Extra;rein new;Stad.,Land,Populatie,Versterkingen,Inkomen,Haven,Extra,
Negombo;Sri Lanka;;2100000;6;11;;;;Negombo,Sri Lanka,2100000,6,11,,,
Nelson Reserve;Nelson Reserve;;500;1;68;X;X;;Nelson Reserve,Nelson Reserve,500,1,68,X,X,
Nema;Mauritania;;60000;1;11;;;;Nema,Mauritania,60000,1,11,,,
Nepal Surket Airbase;India: Central;India;1500;6;11;;;;Nepal Surket Airbase,India: Central,1500,6,11,,,
New Caledonia;France;;269220;2;11;X;;;New Caledonia,France,269220,2,11,X,,
New Castle;South Africa;;404838;6;11;;;;New Castle,South Africa,404838,6,11,,,
New Orleans;USA: Louisiana;USA;1270530;2;43;X;;;New Orleans,USA: Louisiana,1270530,2,43,X,,
New York City;USA: New York;USA;20140470;3;417;X;;;New York City,USA: New York,20140470,3,417,X,,
Nha Trang;Vietnam;;283441;9;11;;;;Nha Trang,Vietnam,283441,9,11,,,
Nhulunbuy;Australia: Northern Territory;;3267;1;11;;;;Nhulunbuy,Australia: Northern Territory,3267,1,11,,,
Niamey;Niger;;674950;3;37;;;;Niamey,Niger,674950,3,37,,,
Nicobar Islands;India: South;India;1241;5;11;;;;Nicobar Islands,India: South,1241,5,11,,,
Nicosia;Cyprus;;55014;2;31;X;;;Nicosia,Cyprus,55014,2,31,X,,
Niigata;Japan;;811613;6;246;X;;;Niigata,Japan,811613,6,246,X,,
Nikolskoje;Russia: Far East;;100;1;11;X;;;Nikolskoje,Russia: Far East,100,1,11,X,,
Ningde city;China: Fujian;;3416789;6;11;X;;;Ningde city,China: Fujian,3416789,6,11,X,,
Nitra;Slovakia;;86329;10;11;;;;Nitra,Slovakia,86329,10,11,,,
Nizhny Novgorod;Russia: Volga;;1311252;3;58;X;;;Nizhny Novgorod,Russia: Volga,1311252,3,58,X,,
Niš;Serbia;;250000;8;30;;;;Niš,Serbia,250000,8,30,,,
North Nicosia;Turkish Republic of North Cyprus;;61378;2;25;;;;North Nicosia,Turkish Republic of North Cyprus,61378,2,25,,,
Northern Israeli Military bases;Israel;;6000;10;11;;;;Northern Israeli Military bases,Israel,6000,10,11,,,
Northern Military airbases;Russia: Central;;3000;6;11;;;;Northern Military airbases,Russia: Central,3000,6,11,,,
Northern Theather Command HQ;China: Hebei;;7000;10;11;;;;Northern Theather Command HQ,China: Hebei,7000,10,11,,,
Nouadhibou;Mauritania;;72337;1;11;;;;Nouadhibou,Mauritania,72337,1,11,,,
Nouakchott;Mauritania;;1196000;2;11;;;;Nouakchott,Mauritania,1196000,2,11,,,
Novi Pazar;Serbia;;85996;8;11;;;;Novi Pazar,Serbia,85996,8,11,,,
Novi Sad & Subotica;Serbia;;315400;6;11;;;;Novi Sad & Subotica,Serbia,315400,6,11,,,
Novosibirsk;Russia: Siberia;;1425508;7;89;;;;Novosibirsk,Russia: Siberia,1425508,7,89,,,
Nuketown;USA: Nevada;USA;100;1;15;;;;Nuketown,USA: Nevada,100,1,15,,,
Nuku'alofa;Tonga;;74454;1;23;X;X;;Nuku'alofa,Tonga,74454,1,23,X,X,
Nukus;Uzbekistan;;199000;5;4;;X;;Nukus,Uzbekistan,199000,5,4,,X,
Nuremberg;Germany;;515543;6;60;;;;Nuremberg,Germany,515543,6,60,,,
Nuuk;Denmark;;17635;5;11;X;;;Nuuk,Denmark,17635,5,11,X,,
Nyala;Sudan;;565734;6;11;;;;Nyala,Sudan,565734,6,11,,,
Nyingchi;China: Tibet;;239700;1;11;;;;Nyingchi,China: Tibet,239700,1,11,,,
Nyiregyhaza;Hungary;;116298;8;11;;;;Nyiregyhaza,Hungary,116298,8,11,,,
N’Djamena;Chad;;721000;9;22;;;;N’Djamena,Chad,721000,9,22,,,
OErebro;Sweden;;115765;6;11;;;;OErebro,Sweden,115765,6,11,,,
Oases 01;African Oases;;1;1;90;;;;Oases 01,African Oases,1,1,90,,,
Oases 02;African Oases;;1;1;20;;;;Oases 02,African Oases,1,1,20,,,
Oases 03;African Oases;;1;1;20;;;;Oases 03,African Oases,1,1,20,,,
Oases 04;African Oases;;1;1;50;;;;Oases 04,African Oases,1,1,50,,,
Oases 05;African Oases;;1;1;50;;;;Oases 05,African Oases,1,1,50,,,
Oases 06;African Oases;;1;1;20;;;;Oases 06,African Oases,1,1,20,,,
Oases 07;African Oases;;1;1;20;;;;Oases 07,African Oases,1,1,20,,,
Oases 08;African Oases;;1;1;35;;;;Oases 08,African Oases,1,1,35,,,
Oases 09;African Oases;;1;1;60;;;;Oases 09,African Oases,1,1,60,,,
Oases 10;African Oases;;1;1;40;;;;Oases 10,African Oases,1,1,40,,,
Oases 11;African Oases;;1;1;40;;;;Oases 11,African Oases,1,1,40,,,
Oases 12;African Oases;;1;1;30;;;;Oases 12,African Oases,1,1,30,,,
Odense;Denmark;;145931;4;11;X;;;Odense,Denmark,145931,4,11,X,,
Odesa;Ukraine;;1015826;7;23;X;X;;Odesa,Ukraine,1015826,7,23,X,X,
Oil Fields A01;REE deposits Asia;;1;1;250;;;;Oil Fields A01,REE deposits Asia,1,1,250,,,
Oil Fields A02;REE deposits Asia;;1;1;150;;;;Oil Fields A02,REE deposits Asia,1,1,150,,,
Oil Fields A03;REE deposits Asia;;1;1;200;;;;Oil Fields A03,REE deposits Asia,1,1,200,,,
Oil Fields A04;REE deposits Asia;;1;1;150;;;;Oil Fields A04,REE deposits Asia,1,1,150,,,
Oil Fields A05;REE deposits Asia;;1;1;100;;;;Oil Fields A05,REE deposits Asia,1,1,100,,,
Oil Fields A06;REE deposits Asia;;1;1;150;;;;Oil Fields A06,REE deposits Asia,1,1,150,,,
Oil Fields A07;REE deposits Asia;;1;1;150;;;;Oil Fields A07,REE deposits Asia,1,1,150,,,
Oil Fields A08;REE deposits Asia;;1;1;50;;;;Oil Fields A08,REE deposits Asia,1,1,50,,,
Oil Rig;Oil Rig;;500;1;68;X;X;;Oil Rig,Oil Rig,500,1,68,X,X,
Oil Rig;Oil Rig;;500;1;71;X;X;;Oil Rig,Oil Rig,500,1,71,X,X,
Oil Rig;Oil Rig;;500;1;51;X;X;;Oil Rig,Oil Rig,500,1,51,X,X,
Oil Rig;Oil Rig;;500;1;68;X;X;;Oil Rig,Oil Rig,500,1,68,X,X,
Oil Rig;Oil Rig;;500;1;88;X;X;;Oil Rig,Oil Rig,500,1,88,X,X,
Oil Rig;Oil Rig;;500;1;62;X;X;;Oil Rig,Oil Rig,500,1,62,X,X,
Oil Rig;Oil Rig;;500;1;75;X;X;;Oil Rig,Oil Rig,500,1,75,X,X,
Oil Well;Oil Well;;500;1;135;;X;;Oil Well,Oil Well,500,1,135,,X,
Oil Well;Oil Well;;500;1;135;;X;;Oil Well,Oil Well,500,1,135,,X,
Oil Well;Oil Well;;500;1;135;;X;;Oil Well,Oil Well,500,1,135,,X,
Okinawa;Japan;;1378105;6;56;X;;;Okinawa,Japan,1378105,6,56,X,,
Oklahoma City;USA: Oklahoma;USA;1425695;9;63;;;;Oklahoma City,USA: Oklahoma,1425695,9,63,,,
Olonets;Russia: East Karelia;;9056;3;63;;;;Olonets,Russia: East Karelia,9056,3,63,,,
Olympia;USA: Washington;USA;286419;8;11;;;;Olympia,USA: Washington,286419,8,11,,,
Omaha;USA: Nebraska;USA;967604;1;28;;;;Omaha,USA: Nebraska,967604,1,28,,,
Oman Muscat Military base;India: Central;India;1000;5;11;X;;;Oman Muscat Military base,India: Central,1000,5,11,X,,
Omar Oil field airbase;USA: Virginia;USA;1000;3;11;;;;Omar Oil field airbase,USA: Virginia,1000,3,11,,,
Omsk;Russia: Siberia;;1134016;4;71;;;;Omsk,Russia: Siberia,1134016,4,71,,,
Onekotan;Russia: Kuril Islands;;350000;1;8;X;X;;Onekotan,Russia: Kuril Islands,350000,1,8,X,X,
Oradea;Romania;;206614;8;11;;;;Oradea,Romania,206614,8,11,,,
Oral;Kazakhstan;;200000;4;11;;;;Oral,Kazakhstan,200000,4,11,,,
Oran;Algeria;;683250;8;29;X;X;;Oran,Algeria,683250,8,29,X,X,
Orlando;USA: Florida;USA;2387138;6;72;;X;;Orlando,USA: Florida,2387138,6,72,,X,
Osaka & Kyoto;Japan;;2649601;8;300;X;;;Osaka & Kyoto,Japan,2649601,8,300,X,,
Osh;Kyrgyzstan;;200000;1;11;;;;Osh,Kyrgyzstan,200000,1,11,,,
Osijek;Croatia;;96313;7;11;;;;Osijek,Croatia,96313,7,11,,,
Oslo;Norway;;1442318;10;191;X;;;Oslo,Norway,1442318,10,191,X,,
Ostrava;Czechia;;313088;10;11;;;;Ostrava,Czechia,313088,10,11,,,
Osumi;Japan;;46500;2;17;X;;;Osumi,Japan,46500,2,17,X,,
Ottawa;Canada: Ontario;;1488307;6;127;;;;Ottawa,Canada: Ontario,1488307,6,127,,,
Ouagadougou;Burkina Faso;;1181702;3;31;;;;Ouagadougou,Burkina Faso,1181702,3,31,,,
Oulu;Finland;;130526;7;14;X;;;Oulu,Finland,130526,7,14,X,,
Outpost Israel;USA: Virginia;USA;1000;4;11;;;;Outpost Israel,USA: Virginia,1000,4,11,,,
PAF Base Sakesar;Pakistan;;2000;6;11;;;;PAF Base Sakesar,Pakistan,2000,6,11,,,
Pacific Spaceport complex;USA: Alaska;USA;1500;3;20;;X;;Pacific Spaceport complex,USA: Alaska,1500,3,20,,X,
Pakse;Laos;;88332;2;11;;;;Pakse,Laos,88332,2,11,,,
Palau;Palau;;18233;1;44;X;X;;Palau,Palau,18233,1,44,X,X,
Palembang;Indonesia;;1462300;4;29;;;;Palembang,Indonesia,1462300,4,29,,,
Palermo;Italy;;666552;7;17;X;;;Palermo,Italy,666552,7,17,X,,
Palikir;Micronesia;;6647;1;61;X;X;;Palikir,Micronesia,6647,1,61,X,X,
Palma;Spain;;550000;6;21;X;X;;Palma,Spain,550000,6,21,X,X,
Palmas;Brazil: Amazon;;196272;1;5;;;;Palmas,Brazil: Amazon,196272,1,5,,,
Palmerston North;New Zealand;;82500;6;11;;;;Palmerston North,New Zealand,82500,6,11,,,
Palu;Indonesia;;373218;1;25;X;;;Palu,Indonesia,373218,1,25,X,,
Panama City;Panama;;1813097;3;72;X;;;Panama City,Panama,1813097,3,72,X,,
Pangkalan TLDM Langkawi;Malaysia;;3500;10;11;X;;;Pangkalan TLDM Langkawi,Malaysia,3500,10,11,X,,
Pantelleria;Italy;;7665;6;25;X;;;Pantelleria,Italy,7665,6,25,X,,
Para-refugee camps;Sahrawi Arab Democratic Republic;;300000;2;11;;;;Para-refugee camps,Sahrawi Arab Democratic Republic,300000,2,11,,,
Paramaribo;Suriname;;250000;3;21;X;;;Paramaribo,Suriname,250000,3,21,X,,
Paramushir;Russia: Kuril Islands;;2592;1;36;X;X;;Paramushir,Russia: Kuril Islands,2592,1,36,X,X,
Parem;Micronesia;;369;1;26;X;X;;Parem,Micronesia,369,1,26,X,X,
Paris;France;;13024518;10;400;;;;Paris,France,13024518,10,400,,,
Pasto;Colombia;;382236;9;11;;;;Pasto,Colombia,382236,9,11,,,
Pathein;Myanmar;;237089;6;11;X;;;Pathein,Myanmar,237089,6,11,X,,
Patna;India: East;India;1753543;6;28;;X;;Patna,India: East,1753543,6,28,,X,
Patras;Greece;;213984;10;8;X;X;;Patras,Greece,213984,10,8,X,X,
Pavlodar;Kazakhstan;;329002;4;11;;;;Pavlodar,Kazakhstan,329002,4,11,,,
Paya Lebar Air Base;Singapore;;3500;10;11;;;;Paya Lebar Air Base,Singapore,3500,10,11,,,
Pechenga;Russia: North Karelia;;3188;1;26;X;X;;Pechenga,Russia: North Karelia,3188,1,26,X,X,
Pechora;Russia: Komi Oblast;;43105;3;32;;;;Pechora,Russia: Komi Oblast,43105,3,32,,,
Pecs;Hungary;;156649;8;11;;;;Pecs,Hungary,156649,8,11,,,
Pedro Juan Caballero;Paraguay;;75109;4;5;;;;Pedro Juan Caballero,Paraguay,75109,4,5,,,
Pemba Island;Tanzania;;350000;1;11;X;;;Pemba Island,Tanzania,350000,1,11,X,,
Pentagon;USA: Virginia;USA;27000;4;150;;;;Pentagon,USA: Virginia,27000,4,150,,,
Perm;Russia: Volga;;1001653;3;44;X;X;;Perm,Russia: Volga,1001653,3,44,X,X,
Perth;Australia: Western;;1554769;6;189;X;;;Perth,Australia: Western,1554769,6,189,X,,
Pescadores;Taiwan;;107223;10;11;X;;;Pescadores,Taiwan,107223,10,11,X,,
Peshawar;Pakistan;;2214533;7;11;;;;Peshawar,Pakistan,2214533,7,11,,,
Petropavlovsk-Kamchatsky;Russia: Far East;;268747;3;30;X;;;Petropavlovsk-Kamchatsky,Russia: Far East,268747,3,30,X,,
Petrozavodsk;Russia: East Karelia;;261987;1;7;X;X;;Petrozavodsk,Russia: East Karelia,261987,1,7,X,X,
Phan Thiet;Vietnam;;160652;9;11;;;;Phan Thiet,Vietnam,160652,9,11,,,
Philadelphia;USA: Pennsylvania;USA;6245051;1;156;;;;Philadelphia,USA: Pennsylvania,6245051,1,156,,,
Phnom Penh;Cambodia;;1625681;5;35;;;;Phnom Penh,Cambodia,1625681,5,35,,,
Phoenix;USA: Arizona;USA;4845832;3;84;;;;Phoenix,USA: Arizona,4845832,3,84,,,
Phuket;Thailand;;89072;8;11;X;;;Phuket,Thailand,89072,8,11,X,,
Picard Island;Seychelles;;350000;1;11;X;;;Picard Island,Seychelles,350000,1,11,X,,
Pierre;USA: South Dakota;USA;19253;1;1;;;;Pierre,USA: South Dakota,19253,1,1,,,
Pilsen;Czechia;;164180;9;11;;;;Pilsen,Czechia,164180,9,11,,,
Pinar del Rio;Cuba;;186990;7;11;X;;;Pinar del Rio,Cuba,186990,7,11,X,,
Pitcairn Islands;United Kingdom;;600;1;11;X;;;Pitcairn Islands,United Kingdom,600,1,11,X,,
Pittsburgh;USA: Pennsylvania;USA;2370930;1;59;;X;;Pittsburgh,USA: Pennsylvania,2370930,1,59,,X,
Pituffik Space Base;USA: Virginia;USA;250;1;11;;X;;Pituffik Space Base,USA: Virginia,250,1,11,,X,
Plesetsk Cosmodrome;Russia: Central;;1000;4;11;;;;Plesetsk Cosmodrome,Russia: Central,1000,4,11,,,
Pleven;Bulgaria;;118675;6;11;;;;Pleven,Bulgaria,118675,6,11,,,
Plovdiv;Bulgaria;;340494;8;11;;;;Plovdiv,Bulgaria,340494,8,11,,,
Plymouth;United Kingdom;;243795;10;10;X;;;Plymouth,United Kingdom,243795,10,10,X,,
Podgorica;Montenegro;;136473;4;5;;X;;Podgorica,Montenegro,136473,4,5,,X,
Pohang;South Korea;;601101;10;11;X;;;Pohang,South Korea,601101,10,11,X,,
Pointe-Noire;Republic of the Congo;;715334;2;7;X;;;Pointe-Noire,Republic of the Congo,715334,2,7,X,,
Pokhara;Nepal;;200000;2;11;;;;Pokhara,Nepal,200000,2,11,,,
Polokwane;South Africa;;130028;5;11;;;;Polokwane,South Africa,130028,5,11,,,
Porirua;New Zealand;;60900;2;11;X;;;Porirua,New Zealand,60900,2,11,X,,
Port Elizabeth & Uitenhage;South Africa;;1327600;9;46;X;;;Port Elizabeth & Uitenhage,South Africa,1327600,9,46,X,,
Port Harcourt;Nigeria;;1148000;8;9;X;;;Port Harcourt,Nigeria,1148000,8,9,X,,
Port Lincoln;Australia: South;;16418;2;41;X;;;Port Lincoln,Australia: South,16418,2,41,X,,
Port Louis;Mauritius;;128483;1;39;X;X;;Port Louis,Mauritius,128483,1,39,X,X,
Port Mathurin;Mauritius;;8004;1;11;X;;;Port Mathurin,Mauritius,8004,1,11,X,,
Port Moresby;Papua New Guinea;;254158;1;23;X;;;Port Moresby,Papua New Guinea,254158,1,23,X,,
Port Said;Egypt;;577600;7;17;X;X;;Port Said,Egypt,577600,7,17,X,X,
Port Sudan;Sudan;;508195;6;21;X;;;Port Sudan,Sudan,508195,6,21,X,,
Port Sudan Naval base;Russia: Central;;1000;2;20;X;;;Port Sudan Naval base,Russia: Central,1000,2,20,X,,
Port Vila;Vanuatu;;40000;1;25;X;;;Port Vila,Vanuatu,40000,1,25,X,,
Port of Spain;Trinidad and Tobago;;57000;2;66;X;;;Port of Spain,Trinidad and Tobago,57000,2,66,X,,
Port-Gentil;Gabon;;136462;1;7;X;;;Port-Gentil,Gabon,136462,1,7,X,,
Port-au-Prince;Haiti;;1082800;1;19;X;X;;Port-au-Prince,Haiti,1082800,1,19,X,X,
Portland;USA: Oregon;USA;2512859;1;60;;;;Portland,USA: Oregon,2512859,1,60,,,
Porto;Portugal;;340000;10;29;X;X;;Porto,Portugal,340000,10,29,X,X,
Porto Alegre;Brazil: South;;1430220;4;92;X;;;Porto Alegre,Brazil: South,1430220,4,92,X,,
Porto Velho Air Force Base;Brazil: Mato Grosso;;3500;8;11;;;;Porto Velho Air Force Base,Brazil: Mato Grosso,3500,8,11,,,
Porto-Novo;Benin;;223552;3;9;X;;;Porto-Novo,Benin,223552,3,9,X,,
Potosi;Bolivia;;141251;2;11;;;;Potosi,Bolivia,141251,2,11,,,
Poznan;Poland;;570532;8;11;;;;Poznan,Poland,570532,8,11,,,
Prague;Czechia;;1223368;10;92;;;;Prague,Czechia,1223368,10,92,,,
Praia;Cabo Verde;;127832;2;18;X;;;Praia,Cabo Verde,127832,2,18,X,,
Pretoria;South Africa;;4208316;10;131;;;;Pretoria,South Africa,4208316,10,131,,,
Prilep;North-Macedonia;;73814;2;11;;;;Prilep,North-Macedonia,73814,2,11,,,
Principe;São Tomé and Príncipe;;8223;1;11;X;;;Principe,São Tomé and Príncipe,8223,1,11,X,,
Pristina;Kosovo;;350000;3;110;;;;Pristina,Kosovo,350000,3,110,,,
Providence;USA: Rhode Island;USA;190934;1;17;X;;;Providence,USA: Rhode Island,190934,1,17,X,,
Pskov;Russia: Novgorod;;210501;2;20;;;;Pskov,Russia: Novgorod,210501,2,20,,,
Pskov Military bases;Russia: Central;;2000;6;20;;;;Pskov Military bases,Russia: Central,2000,6,20,,,
Pucallpa;Peru;;310750;5;11;;;;Pucallpa,Peru,310750,5,11,,,
Puerto Barrios;Guatemala;;56605;3;11;X;;;Puerto Barrios,Guatemala,56605,3,11,X,,
Puerto Bolívar;Colombia;;288072;10;11;X;;;Puerto Bolívar,Colombia,288072,10,11,X,,
Puerto Francisco de Orellana;Ecuador;;48144;6;11;;;;Puerto Francisco de Orellana,Ecuador,48144,6,11,,,
Puerto Montt;Chile;;160054;6;11;X;;;Puerto Montt,Chile,160054,6,11,X,,
Puerto Princesa;Philippines;;255000;6;11;X;;;Puerto Princesa,Philippines,255000,6,11,X,,
Puerto Vallarta;Mexico;;221000;6;36;X;;;Puerto Vallarta,Mexico,221000,6,36,X,,
Puerto del Rosario;Spain;;300;1;11;X;;;Puerto del Rosario,Spain,300,1,11,X,,
Pula;Croatia;;52220;7;11;X;;;Pula,Croatia,52220,7,11,X,,
Punta Arenas;Chile;;127454;4;12;X;X;;Punta Arenas,Chile,127454,4,12,X,X,
Punta del Este;Uruguay;;12423;4;31;;X;;Punta del Este,Uruguay,12423,4,31,,X,
Putian city;China: Fujian;;3210714;4;11;X;;;Putian city,China: Fujian,3210714,4,11,X,,
Pyongyang;North Korea;;3270000;10;51;;;;Pyongyang,North Korea,3270000,10,51,,,
Qatar Military base;Qatar;;2000;10;11;;;;Qatar Military base,Qatar,2000,10,11,,,
Qatar Naval base;Qatar;;5000;10;11;X;;;Qatar Naval base,Qatar,5000,10,11,X,,
Qingdao;China: Jinan;;7172451;6;140;X;;;Qingdao,China: Jinan,7172451,6,140,X,,
Qom;Iran;;1260000;3;11;;;;Qom,Iran,1260000,3,11,,,
Quebec;Canada: Quebec;;715515;6;52;X;;;Quebec,Canada: Quebec,715515,6,52,X,,
Quetta;Pakistan;;925889;7;18;;X;;Quetta,Pakistan,925889,7,18,,X,
Quetzaltenango;Guatemala;;132230;1;11;;;;Quetzaltenango,Guatemala,132230,1,11,,,
Quezon & Manila City;Philippines;;9371491;10;93;X;;;Quezon & Manila City,Philippines,9371491,10,93,X,,
Quito;Ecuador;;1527698;10;51;;;;Quito,Ecuador,1527698,10,51,,,
RAAF Base Edinburgh;Australia: NSW;;3500;6;11;;;;RAAF Base Edinburgh,Australia: NSW,3500,6,11,,,
RAAF Base Pearce;Australia: NSW;;3500;6;11;;;;RAAF Base Pearce,Australia: NSW,3500,6,11,,,
REE Deposit A01;REE deposits Americas;;1;1;100;;;;REE Deposit A01,REE deposits Americas,1,1,100,,,
REE Deposit A02;REE deposits Americas;;1;1;80;;;;REE Deposit A02,REE deposits Americas,1,1,80,,,
REE Deposit A03;REE deposits Americas;;1;1;100;;;;REE Deposit A03,REE deposits Americas,1,1,100,,,
REE Deposit A04;REE deposits Americas;;1;1;200;;;;REE Deposit A04,REE deposits Americas,1,1,200,,,
REE Deposit A05;REE deposits Americas;;1;1;30;;;;REE Deposit A05,REE deposits Americas,1,1,30,,,
REE Deposit A06;REE deposits Americas;;1;1;30;;;;REE Deposit A06,REE deposits Americas,1,1,30,,,
REE Deposit A07;REE deposits Americas;;1;1;30;;;;REE Deposit A07,REE deposits Americas,1,1,30,,,
REE Deposit A08;REE deposits Americas;;1;1;40;;;;REE Deposit A08,REE deposits Americas,1,1,40,,,
REE Deposit A09;REE deposits Americas;;1;1;50;;;;REE Deposit A09,REE deposits Americas,1,1,50,,,
REE Deposit A09;REE deposits Americas;;1;1;60;;;;REE Deposit A09,REE deposits Americas,1,1,60,,,
REE Deposit A10;REE deposits Americas;;1;1;60;;;;REE Deposit A10,REE deposits Americas,1,1,60,,,
REE Deposit A11;REE deposits Americas;;1;1;60;;;;REE Deposit A11,REE deposits Americas,1,1,60,,,
REE Deposit A12;REE deposits Americas;;1;1;70;;;;REE Deposit A12,REE deposits Americas,1,1,70,,,
REE Deposit A13;REE deposits Americas;;1;1;50;;;;REE Deposit A13,REE deposits Americas,1,1,50,,,
REE Deposit A14;REE deposits Americas;;1;1;60;;;;REE Deposit A14,REE deposits Americas,1,1,60,,,
REE Deposit A15;REE deposits Americas;;1;1;50;;;;REE Deposit A15,REE deposits Americas,1,1,50,,,
REE Deposit A16;REE deposits Americas;;1;1;70;;;;REE Deposit A16,REE deposits Americas,1,1,70,,,
REE Deposit A17;REE deposits Americas;;1;1;80;;;;REE Deposit A17,REE deposits Americas,1,1,80,,,
REE Deposit A18;REE deposits Americas;;1;1;80;;;;REE Deposit A18,REE deposits Americas,1,1,80,,,
REE Deposit A19;REE deposits Americas;;1;1;50;;;;REE Deposit A19,REE deposits Americas,1,1,50,,,
REE Deposit A20;REE deposits Americas;;1;1;60;;;;REE Deposit A20,REE deposits Americas,1,1,60,,,
REE Deposit AF01;REE deposits Africa;;1;1;180;;;;REE Deposit AF01,REE deposits Africa,1,1,180,,,
REE Deposit AF02;REE deposits Africa;;1;1;100;;;;REE Deposit AF02,REE deposits Africa,1,1,100,,,
REE Deposit AF03;REE deposits Africa;;1;1;80;;;;REE Deposit AF03,REE deposits Africa,1,1,80,,,
REE Deposit AF04;REE deposits Africa;;1;1;80;;;;REE Deposit AF04,REE deposits Africa,1,1,80,,,
REE Deposit AF05;REE deposits Africa;;1;1;50;;;;REE Deposit AF05,REE deposits Africa,1,1,50,,,
REE Deposit AF06;REE deposits Africa;;1;1;40;;;;REE Deposit AF06,REE deposits Africa,1,1,40,,,
REE Deposit AF07;REE deposits Africa;;1;1;40;;;;REE Deposit AF07,REE deposits Africa,1,1,40,,,
REE deposits A01;REE deposits Asia;;1;1;170;;;;REE deposits A01,REE deposits Asia,1,1,170,,,
REE deposits A02;REE deposits Asia;;1;1;50;;;;REE deposits A02,REE deposits Asia,1,1,50,,,
REE deposits A03;REE deposits Asia;;1;1;70;;;;REE deposits A03,REE deposits Asia,1,1,70,,,
REE deposits A04;REE deposits Asia;;1;1;40;;;;REE deposits A04,REE deposits Asia,1,1,40,,,
REE deposits A05;REE deposits Asia;;1;1;50;;;;REE deposits A05,REE deposits Asia,1,1,50,,,
REE deposits A06;REE deposits Asia;;1;1;40;;;;REE deposits A06,REE deposits Asia,1,1,40,,,
REE deposits A07;REE deposits Asia;;1;1;50;;;;REE deposits A07,REE deposits Asia,1,1,50,,,
REE deposits A08;REE deposits Asia;;1;1;60;;;;REE deposits A08,REE deposits Asia,1,1,60,,,
REE deposits A09;REE deposits Asia;;1;1;60;;;;REE deposits A09,REE deposits Asia,1,1,60,,,
REE deposits A10;REE deposits Asia;;1;1;50;;;;REE deposits A10,REE deposits Asia,1,1,50,,,
REE deposits A11;REE deposits Asia;;1;1;50;;;;REE deposits A11,REE deposits Asia,1,1,50,,,
REE deposits A12;REE deposits Asia;;1;1;50;;;;REE deposits A12,REE deposits Asia,1,1,50,,,
REE deposits AR01;REE deposits Australian region;;1;1;200;;;;REE deposits AR01,REE deposits Australian region,1,1,200,,,
REE deposits AR02;REE deposits Australian region;;1;1;150;;;;REE deposits AR02,REE deposits Australian region,1,1,150,,,
REE deposits AR03;REE deposits Australian region;;350000;1;150;;;;REE deposits AR03,REE deposits Australian region,350000,1,150,,,
REE deposits AR04;REE deposits Australian region;;1;1;150;;;;REE deposits AR04,REE deposits Australian region,1,1,150,,,
REE deposits AR05;REE deposits Australian region;;1;1;100;;;;REE deposits AR05,REE deposits Australian region,1,1,100,,,
REE deposits AR06;REE deposits Australian region;;1;1;100;;;;REE deposits AR06,REE deposits Australian region,1,1,100,,,
REE deposits AR07;REE deposits Australian region;;1;1;80;;;;REE deposits AR07,REE deposits Australian region,1,1,80,,,
REE deposits AR08;REE deposits Australian region;;1;1;30;;;;REE deposits AR08,REE deposits Australian region,1,1,30,,,
Rabat;Morocco;;2830000;8;22;X;;;Rabat,Morocco,2830000,8,22,X,,
Rajshahi;Bangladesh;;700133;10;11;;;;Rajshahi,Bangladesh,700133,10,11,,,
Raleigh;USA: North Carolina;USA;1413982;3;59;;;;Raleigh,USA: North Carolina,1413982,3,59,,,
Ramallah;Palestine;;1050000;4;30;;;;Ramallah,Palestine,1050000,4,30,,,
Ranchi;India: East;India;1456528;6;91;;;;Ranchi,India: East,1456528,6,91,,,
Rangpur;Bangladesh;;343122;10;11;;;;Rangpur,Bangladesh,343122,10,11,,,
Rapid City;USA: South Dakota;USA;144558;1;5;;X;;Rapid City,USA: South Dakota,144558,1,5,,X,
Recife;Brazil: Northeast;;1549980;3;33;X;;;Recife,Brazil: Northeast,1549980,3,33,X,,
Reno;USA: Nevada;USA;425417;1;7;;X;;Reno,USA: Nevada,425417,1,7,,X,
Reykjavik;Iceland;;120165;1;43;X;;;Reykjavik,Iceland,120165,1,43,X,,
Rhodes;Greece;;115490;8;8;X;X;;Rhodes,Greece,115490,8,8,X,X,
Riau Islands;Malaysia;;2162140;6;11;X;;;Riau Islands,Malaysia,2162140,6,11,X,,
Riberalta;Bolivia;;99070;6;25;;;;Riberalta,Bolivia,99070,6,25,,,
Richmond;USA: Virginia;USA;1263617;3;158;;;;Richmond,USA: Virginia,1263617,3,158,,,
Richmond Tweed;Australia: NSW;;257061;3;11;X;;;Richmond Tweed,Australia: NSW,257061,3,11,X,,
Riga;Latvia;;742371;7;39;X;;;Riga,Latvia,742371,7,39,X,,
Rijeka;Croatia;;107964;5;11;X;;;Rijeka,Croatia,107964,5,11,X,,
Rio Branco;Brazil: Amazon;;413418;4;6;;;;Rio Branco,Brazil: Amazon,413418,4,6,,,
Rio Gallegos;Argentina;;79144;3;21;X;X;;Rio Gallegos,Argentina,79144,3,21,X,X,
Rio de Janeiro;Brazil: Southeast;;6161047;6;114;X;;;Rio de Janeiro,Brazil: Southeast,6161047,6,114,X,,
Riobamba;Ecuador;;124478;6;11;;;;Riobamba,Ecuador,124478,6,11,,,
Riyadh;Saudi Arabia;;7676654;10;143;;;;Riyadh,Saudi Arabia,7676654,10,143,,,
